id,title,description,people,tags,date_start,date_end,era,lat,lon,address,source_primary,source_secondary,power,interest
evt_wall_st_bombing_1920,Wall Street bombing (J.P. Morgan & Co.),"Midday explosion at Wall & Broad; 38 killed, hundreds injured; unsolved.",—,"crime,politics,history",1920-09-16,,1900,40.7073,-74.0100,"23 Wall St, New York, NY 10005",FBI History summary; NPS photos,NY Times contemporaneous coverage,3,"politics,crime"
evt_federal_hall_wash_ing_1789,George Washington Inauguration,Washington sworn in as first U.S. President on balcony of Federal Hall.,George Washington,"politics,history",1789-04-30,,1750,40.7075,-74.0109,"26 Wall St, New York, NY 10005",National Park Service — Federal Hall,G.W. Papers at LOC,3,politics
evt_triangle_fire_1911,Triangle Shirtwaist Factory fire,Deadliest industrial disaster in NYC; led to labor reforms.,—,"labor,history",1911-03-25,,1900,40.7302,-73.9957,"23–29 Washington Pl, New York, NY 10003",Cornell ILR Kheel Center primary archive,NPS/Tamiment,3,"labor,politics"
evt_emma_goldman_unionsq_1908,Emma Goldman Union Square address (free speech),Goldman’s speeches & arrests around Union Sq shaped NY free speech battles.,Emma Goldman,"politics,free-speech",1908-05-01,,1900,,,"Union Square, New York, NY 10003",Emma Goldman Papers Project (Berkeley),NYC newspapers,2,politics
evt_stonewall_1969,Stonewall Uprising,Police raid sparked nights of resistance; catalyst for modern LGBTQ+ movement.,"Marsha P. Johnson,Sylvia Rivera,Stormé DeLarverie","lgbtq,politics,civil-rights",1969-06-28,1969-07-03,1950,40.7336,-74.0027,"53 Christopher St, New York, NY 10014",National Park Service — Stonewall National Monument,NYC LGBT Historic Sites,3,"lgbtq,politics"
evt_julius_sip_in_1966,Julius’ “Sip-In”,Mattachine activists publicly denied service under ‘disorderly’ rules; case led to change.,"Dick Leitsch,Mattachine Society","lgbtq,civil-rights",1966-04-21,,1950,,,"159 W 10th St, New York, NY 10014",NYC LGBT Historic Sites Project (with primary docs),Village Preservation,3,"lgbtq,politics"
evt_bitter_end_ppm_1961,"Peter, Paul & Mary early shows at The Bitter End",Emerging folk acts got early stages here; scene incubator.,"Peter Yarrow,Paul Stookey,Mary Travers","music,performance",1961-01-01,,1950,,,"147 Bleecker St, New York, NY 10012",Venue ephemera/press ads (NYPL),NYC Tourism profile,2,music
evt_cafe_society_1939,“Strange Fruit” premieres at Café Society,Billie Holiday debuts anti-lynching song downtown.,Billie Holiday,"music,civil-rights",1939-04-00,,1900,,,2 Sheridan Sq (former Café Society),Contemporaneous press; photographs,Smithsonian overview,3,"music,politics"
evt_cooper_union_lincoln_1860,Lincoln’s Cooper Union Address,Speech helped propel Lincoln to the presidency; argued against slavery’s expansion.,Abraham Lincoln,"politics,history",1860-02-27,,1850,40.7293,-73.9903,7 E 7th St (The Cooper Union Great Hall),Cooper Union Archives — primary,Library of Congress,3,politics
evt_paradise_garage_1979,Paradise Garage peak era (Larry Levan),Influential dance culture & DJ innovations; seminal LGBTQ+ space.,"Larry Levan,Michael Brody","music,lgbtq,culture",1979-01-01,1987-09-27,1950,,,"84 King St, New York, NY 10014",Flyers & setlists (archival); NARA photos,NYC LGBT Historic Sites,2,"music,lgbtq"
evt_club57_1980,Club 57 downtown art nights,"Performance & art bills featuring Keith Haring, Ann Magnuson et al.","Keith Haring,Ann Magnuson","art,performance,lgbtq",1980-01-01,1983-12-31,1950,,,"57 St Marks Pl, New York, NY 10003",MoMA Club 57 exhibition materials,Village Voice archives,2,"art,lgbtq"
evt_actup_st_patricks_1989,ACT UP/WHAM! St. Patrick’s Cathedral protest,Mass die-in/action addressing AIDS crisis & Church policy.,"ACT UP,WHAM!","health,politics,lgbtq",1989-12-10,,1950,40.7586,-73.9763,"5th Ave & 51st St, New York, NY 10022",ACT UP Oral History Project — primary,NYT contemporaneous,3,"lgbtq,politics"
evt_lamama_debuts_1960s,La MaMa early Off-Off-Broadway premieres,Ellen Stewart’s La MaMa incubates experimental theatre & playwrights.,"Ellen Stewart,Sam Shepard,Tom O’Horgan","theatre,performance",1963-01-01,,1950,,,66 E 4th St / 74A E 4th St,La MaMa Archives (primary programs),Theatre histories,2,"performance,art"
evt_katz_when_harry_met_sally_1989,‘When Harry Met Sally…’ diner scene,Iconic film scene shot at Katz’s; lasting pop-culture landmark.,"Rob Reiner,Meg Ryan,Billy Crystal","cinema,pop-culture",1989-07-21,,1950,,,"205 E Houston St, New York, NY 10002",Production notes/stills; Katz’s markers,IMDb/NYC film office,1,cinema
evt_bowery_punk_77,Bowery punk explosion,CBGB-era punk radiates along Bowery/LES venues.,"The Ramones,Blondie,Television","music,subculture",1977-01-01,1979-12-31,1950,,,315 Bowery & environs,Gig flyers & contemporaneous press,Oral histories,2,music
evt_bitter_end_dylan_sightings,Early Dylan Village performances (nearby),Dylan’s early 60s GV circuit includes Bitter End environs.,Bob Dylan,"music,history",1961-01-01,1963-12-31,1950,,,Greenwich Village (Bleecker/MacDougal),Contemporaneous press; Bob Dylan papers,Secondary biographies,1,music
evt_mulberry_feast,Feast of San Gennaro (founding years),"Little Italy street festival established, evolving over decades.",—,"religion,culture",1926-09-19,,1900,,,Mulberry St between Canal & Houston,Society of San Gennaro archives,NYC Tourism,1,culture
